"country","name","gppd_idnr","capacity_mw","latitude","longitude","primary_fuel","commissioning_year","owner","year_of_capacity_data"
"USA","AC Landfill Energy LLC","USA0057845","3.5",39.4175,-74.5422,"Waste","2005.0","AC Landfill Energy LLC",2019
"USA","AC Power","USA0063260","1.3",40.0498,-74.9352,"Solar","2019.0000000000002","AC Power 1  LLC",2019
"USA","ACB Energy Parntners LLC - MTF Cogen","USA0062492","7.5",39.3733,-74.4369,"Gas","2011.0","ACB Energy Partners LLC",2019
"USA","ACCC Mays Landing","USA0060802","1.4",39.4606,-74.6809,"Solar","2013.0","GSRP",2019
"USA","ACE-Stanton A PV","USA0061247","4.1",28.4845,-81.1741,"Solar","2017.0","ACE-Stanton A  LLC",2019
"USA","ACE-Stanton PV","USA0061246","4.8",28.4774,-81.1804,"Solar","2017.0000000000002","ACE-Stanton  LLC",2019
"USA","ACUA","USA0061923","1.0",39.382,-74.4451,"Storage","2018.0","Viridity Energy Solutions  Inc.",2019
"USA","ADA Carbon Solutions Red River","USA0057938","20.8",32.0039,-93.3911,"Cogeneration","2011.0","ADA Carbon Solutions (Red River)  LLC",2019
"USA","ADS Renewable Energy-Wolf Creek LLC","USA0060184","2.8",32.7755,-83.4348,"Waste","2010.9999999999998","ADS Renewable Energy- Wolf Creek  LLC",2019
"USA","AEP Bluffton NaS","USA0060618","2.0",40.8928,-83.8863,"Storage","2009.0","Ohio Power Co",2019
"USA","AEP Churubusco NaS","USA0060617","2.0",41.2326,-85.3149,"Storage","2009.0","Indiana Michigan Power Co",2019
"USA","AEP Jacksonville Solar Project","USA0061388","7.1",30.5236,-81.6864,"Solar","2017.0","AEP Onsite Partners",2019
"USA","AEP Milton NaS","USA0059995","2.0",38.3622,-82.1256,"Storage","2009.0","Appalachian Power Co",2019
"USA","AES Alamitos LLC","USA0000315","1115.0",33.7688,-118.1009,"Gas","1962.8878923766815","AES Alamitos LLC",2019
"USA","AES ES GILBERT","USA0061861","10.0",33.4468,-111.9563,"Storage","2019.0","AES ES GILBERT  LLC",2019
"USA","AES Huntington Beach LLC","USA0000335","218.0",33.6439,-117.9792,"Gas","1959.0","AES Huntington Beach LLC",2019
"USA","AES Ilumina","WRI1026807","24.0",17.9468,-66.1591,"Solar","","AES Corporation",""
"USA","AES Kekaha Solar  LLC Hybrid","USA0063280","14.0",22.0006,-159.7621,"Solar","2020.0","AES Distributed Energy",2019
"USA","AES Redondo Beach LLC","USA0000356","821.4",33.8504,-118.395,"Gas","1962.4302410518626","AES Redondo Beach LLC",2019
"USA","AES Warrior Run Cogeneration Facility","USA0010678","229.0",39.5952,-78.7453,"Coal","1999.0","AES WR Ltd Partnership",2019
"USA","AES Warrior Run Energy Storage Project","USA0059949","11.0",39.5931,-78.7453,"Storage","2016.0","AES Tait LLC",2019
"USA","AFA Solar Farm","USA0057554","5.5",38.9579,-104.8066,"Solar","2011.0","Solar Star Colorado II LLC",2019
"USA","AGA TAG Solar IV LLC","USA0063225","4.9",34.2736,-78.0644,"Solar","2019.9999999999998","AGA TAG Solar IV LLC",2019
"USA","AGT000 Stevens Creek Fuel Cell","USA0063699","2.2",37.3249,-121.9989,"Gas","2018.0","2016 ESA Project Company  LLC",2019
"USA","AGT001 Centerville Fuel Cell","USA0063700","1.3",39.7579,-75.6221,"Gas","2019.0000000000002","2016 ESA Project Company  LLC",2019
"USA","AIS Solar Project","USA0060986","2.5",42.5019,-71.7378,"Solar","2017.0","Terraform Arcadia",2019
"USA","AL Sandersville LLC","USA0055672","692.0",33.1189,-82.8608,"Gas","2002.0","SEPG Operating Services  LLC ALS",2019
"USA","ALDI DC 2","USA0062615","1.2",41.8658,-72.574,"Solar","2018.0","EnterSolar",2019
"USA","AM Best Farm","USA0058344","5.0",35.4189,-77.9856,"Solar","2013.0","AM Best Farm",2019
"USA","AMEA Peaking","USA0056018","98.6",33.1661,-86.2825,"Gas","2004.0","Alabama Municipal Elec Authority",2019
"USA","AMP Napoleon Solar Facility","USA0058082","3.5",41.4067,-84.1108,"Solar","2012.0","American Mun Power-Ohio  Inc",2019
"USA","ANAD Solar Array","USA0060680","7.4",33.6267,-85.9695,"Solar","2017.0","Alabama Power Co",2019
"USA","ANP Bellingham Energy Project","USA0055211","578.0",42.1106,-71.4535,"Gas","2002.5","ANP Bellingham Energy Company LLC",2019
"USA","Meldahl Hydroelectric Project","USA0056872","105.0",38.7914,-84.173,"Hydro","2016.0","City of Hamilton - (OH)",2019
"USA","ANP Blackstone Energy Project","USA0055212","578.0",42.0599,-71.5158,"Gas","2001.0","ANP Blackstone Energy Company LLC",2019
"USA","AP North Lake I  LP","USA0059610","20.0",33.74,-117.0106,"Solar","2015.0","AP North Lake I  LP",2019
"USA","APG New Chesapeake","USA0062629","2.3",39.4937,-76.1467,"Solar","2018.0","Onyx Asset Services Group",2019
"USA","APG Old Bayside","USA0062628","1.7",39.499,-76.1461,"Solar","2018.0","Onyx Asset Services Group",2019
"USA","APP Prune A-D","USA0062577","4.0",37.3317,-122.0067,"Gas","2017.0","Bloom Energy",2019
"USA","ASTI","USA0058889","1.0",38.7614,-122.9753,"Solar","2009.0","Perpetual Energy Systems",2019
"USA","AT&T Anaheim","USA0061154","1.3",33.8364,-117.9169,"Gas","2016.0","Bloom Energy",2019
"USA","AT&T Holger","USA0061153","1.3",37.4176,-121.9445,"Gas","2016.0","Bloom Energy",2019
"USA","ATOOD Solar III LLC","USA0063242","2.0",34.9965,-82.0421,"Solar","2020.0","ATOOD Solar III LLC",2019
"USA","ATOOD Solar IV  LLC","USA0063383","5.0",34.2753,-78.061,"Solar","2020.0","Alchemy Renewable Energy",2019
"USA","ATT  Kelvin","USA0062573","1.0",33.6847,-117.8368,"Gas","2017.0","Bloom Energy",2019
"USA","ATT Jericho","USA0062572","1.0",40.8302,-73.3522,"Gas","2017.0","Bloom Energy",2019
"USA","ATT North Watney","USA0063605","2.0",38.2363,-122.0778,"Gas","2020.0","Bloom Energy",2019
"USA","ATT Van Nyus","USA0062574","1.0",34.1963,-118.4482,"Gas","2017.0","Bloom Energy",2019
"USA","ATT Ventura Blvd","USA0063606","1.0",34.1522,-118.4561,"Gas","2019.0","Bloom Energy",2019
"USA","AV Solar Ranch One","USA0057378","253.0",34.7803,-118.4244,"Solar","2014.0","AV Solar Ranch 1 LLC",2019
"USA","AVS Lancaster 1","USA0060085","3.7",34.7489,-117.9736,"Solar","2017.0","Tesla Inc.",2019
"USA","AZ State University - Tempe Campus Solar","USA0062643","2.4",33.4243,-111.9282,"Solar","2010.4166666666667","Arizona State University FDM",2019
"USA","Abbot Solar","USA0061936","2.0",33.6784,-80.2403,"Solar","2019.0","Abbot Solar  LLC",2019
"USA","Abbott TP 3","USA0003581","2.8",29.594,-98.0407,"Hydro","1927.0","Guadalupe Blanco River Authority",2019
"USA","Abiquiu Dam","USA0007789","15.6",36.2399,-106.423,"Hydro","1993.230769230769","Los Alamos County",2019
"USA","Acadia Energy Center","USA0055173","1389.1999999999998",30.4286,-92.4131,"Gas","2002.0000000000002","Cleco Power LLC",2019
"USA","Achilles Solar","USA0062621","5.0",35.3597,-79.9114,"Solar","2019.0","Achilles Farm  LLC",2019
"USA","Acton Solar Landfill","USA0059543","1.6",42.4733,-71.4306,"Solar","2014.0","Heliovaas LLC",2019
"USA","Acturus Community Solar","USA0061705","1.0",44.2832,-93.9544,"Solar","2019.0","Geronimo Energy",2019
"USA","Actus Lend Lease DMAFB","USA0058632","3.0",32.1825,-110.8633,"Solar","2010.0","Tesla Inc.",2019
"USA","Acushnet AD Makepeace","USA0058270","4.7",41.7989,-70.7436,"Solar","2011.9999999999998","Ahana Renewables  LLC",2019
"USA","Acushnet Ball Plant 2","USA0062835","1.5",41.7197,-70.9714,"Storage","2019.0","Acushnet",2019
"USA","Acushnet Hawes Reed Road","USA0058271","1.0",41.6622,-71.0425,"Solar","2012.0","Ahana Renewables  LLC",2019
"USA","Acushnet- High Hill","USA0059128","3.2",41.7144,-70.9972,"Solar","2013.0","Ahana Renewables  LLC",2019
"USA","Acushnet-Braley Road 1","USA0059121","1.9",41.7517,-70.9706,"Solar","2013.0","Ahana Renewables  LLC",2019
"USA","Ada Cogeneration LP","USA0010819","33.1",42.9627,-85.4941,"Gas","1990.0","Ada Cogeneration Ltd Partnership",2019
"USA","Ada Dam","USA0050433","1.4",42.9506,-85.4859,"Hydro","1984.0","STS Hydropower  LLC",2019
"USA","Adair Wind Farm","USA0056810","174.8",41.4236,-94.665,"Wind","2009.0","MidAmerican Energy Co",2019
"USA","Adams Ave MS and HS","USA0060772","3.1",39.4114,-74.5309,"Solar","2011.5806451612902","GSRP",2019
"USA","Adams Community Solar Garden III LLC","USA0059850","1.2",39.7867,-104.5877,"Solar","2015.0","Adams Community Solar Garden III LLC",2019
"USA","Adams Community Solar Garden LLC","USA0059849","1.2",39.7876,-104.5859,"Solar","2015.0","Adams Community Solar Garden LLC",2019
"USA","Adams Farm Solar","USA0059775","3.0",42.6,-72.2,"Solar","2013.0","Adams Farm Solar LLC",2019
"USA","Adams Nielson Solar","USA0061933","19.2",46.9553,-118.6212,"Solar","2018.0","Adams Nielson Solar  LLC",2019
"USA","Adams Solar","USA0062026","1.0",41.655,-72.161,"Solar","2018.0","Ecos Energy LLC",2019
"USA","Adams Solar Center","USA0061496","10.0",44.675,-121.122,"Solar","2018.0","GCL New Energy  Inc.",2019
"USA","Adams Wind","USA0059637","154.3",40.92,-94.6717,"Wind","2015.688917692806","MidAmerican Energy Co",2019
"USA","Adams Wind Farm","USA0056307","23.3",43.5548,-92.7241,"Wind","2003.420600858369","Consolidated Edison Development Inc.",2019
"USA","Adams Wind Generations LLC","USA0057375","20.0",44.9169,-94.7356,"Wind","2011.0","BEAM US  LLC",2019
"USA","Adelanto Solar  LLC","USA0059441","20.0",34.5572,-117.3775,"Solar","2015.0","Adelanto Solar  LLC",2019
"USA","Adelanto Solar II  LLC","USA0059440","7.0",34.5572,-117.3775,"Solar","2015.0","Adelanto Solar II  LLC",2019
"USA","Adelanto Solar Project","USA0057305","10.0",34.5508,-117.4353,"Solar","2012.0","Los Angeles Department of Water & Power",2019
"USA","Adera Solar","USA0060027","20.0",37.1206,-120.3249,"Solar","2016.0","Sustainable Power Group  LLC",2019
"USA","Adirondack Solar","USA0063772","1.1",44.8936,-73.8417,"Solar","2018.0","Cypress Creek Renewables",2019
"USA","Adkins Energy LLC","USA0058136","6.8",42.3622,-89.8036,"Gas","2006.5000000000002","Adkins Energy LLC",2019
"USA","Adobe San Jose","USA0057811","1.2000000000000002",37.3306,-121.8931,"Gas","2009.9999999999998","Bloom Energy",2019
"USA","Adobe Solar","USA0057651","20.0",35.1028,-118.9544,"Solar","2014.0","Southern Power Co",2019
"USA","Adrian","USA0001956","2.0",43.6371,-95.9328,"Oil","2005.0","Adrian Public Utilities Comm",2019
"USA","Adrian Energy Associates LLC","USA0054903","2.4000000000000004",41.891,-83.9929,"Waste","1994.9999999999998","LES Project Holdings LLC",2019
"USA","Advance Stores Company  Inc","USA0059788","1.0",42.015,-72.5119,"Solar","2014.0","Tesla Inc.",2019
"USA","Aegis CSG","USA0063059","2.0",42.7647,-77.3439,"Solar","2019.0","Forefront Power  LLC",2019
"USA","Aeolus Wind Facility","USA0056225","3.0",36.4725,-101.3278,"Wind","2004.0","Aeolus Wind LLC",2019
"USA","Aera San Ardo Cogen Facility","USA0055184","6.2",35.9533,-120.86,"Gas","1988.9999999999998","Aera Energy LLC-San Ardo",2019
"USA","Aerojet I","USA0057697","3.0",38.6135,-121.1629,"Solar","2010.0","Altus Power America Management  LLC",2019
"USA","Aerojet II","USA0057698","2.7",38.6086,-121.1703,"Solar","2009.9999999999998","Altus Power America Management  LLC",2019
"USA","Aerolease","USA0061718","1.5",34.1899,-118.4514,"Solar","2018.0","PCS Energy  LLC",2019
"USA","Afton Generating Station","USA0055210","287.0",32.1142,-106.8465,"Gas","2003.9163763066201","Public Service Co of NM",2019
"USA","Agassiz Beach LLC","USA0055576","1.9",47.0053,-96.4356,"Wind","2001.0","CHI Operations Inc",2019
"USA","Agawam Solar","USA0059028","1.5",42.0819,-72.6144,"Solar","2012.0","Citizens Enterprises Corporation",2019
"USA","Agnews Power Plant","USA0050748","32.0",37.4058,-121.9272,"Gas","1990.0","OLS Energy-Agnews Inc.",2019
"USA","AgriReNew","USA0059181","1.0",41.6919,-90.8664,"Biomass","2013.0","AgriReNew",2019
"USA","Agrilectric Power Partners Ltd","USA0010593","12.1",30.2012,-93.1269,"Waste","1983.9999999999998","Agrilectric Power Partners Ltd",2019
"USA","Agrium Kenai Nitrogen Operations","USA0054452","12.5",60.6732,-151.3784,"Gas","1977.0","Agrium US Inc",2019
"USA","Agriwind","USA0056408","8.4",41.3017,-89.6236,"Wind","2006.9999999999998","AgriWind Project  LLC",2019
"USA","Agua Caliente Solar Project","USA0057373","347.7",32.9774,-113.4945,"Solar","2013.0871440897326","Agua Caliente Solar",2019
"USA","Agua Mansa Power Plant","USA0055951","60.5",34.0414,-117.3603,"Gas","2003.0","E I Colton LLC",2019
"USA","Aguirre","WRI1028012","42.0",17.9533,-66.2312,"Gas","","",""
"USA","Aguirre","WRI1026809","1492.0",17.9519,-66.2308,"Oil","1975.0","PREPA",""
"USA","Ahoskie","USA0059795","5.0",36.3064,-76.9931,"Solar","2018.0","Soltage LLC",2019
"USA","Aidlin Geothermal Power Plant","USA0052158","25.0",38.8339,-122.881,"Geothermal","1989.0","Geysers Power Co LLC",2019
"USA","Ainsworth Wind","USA0056162","59.4",42.4489,-99.8917,"Wind","2005.0","Nebraska Public Power District",2019
"USA","Air Products Port Arthur","USA0055309","169.10000000000002",29.8665,-93.9651,"Gas","2006.0236546422232","Air Products LLC",2019
"USA","Airport 1 Solar (DIA)","USA0059807","1.5",39.8994,-104.6753,"Solar","2010.0","Greenbacker Renewable Energy Corporation",2019
"USA","Airport Industrial","USA0007995","10.0",38.2844,-104.5308,"Oil","2002.0","Black Hills Colorado Electric  LLC",2019
"USA","Airport Solar","USA0062560","47.3",42.1702,-120.4023,"Solar","2020.0000000000002","Airport Solar LLC",2019
"USA","Ajax Solar","USA0060288","5.0",34.8309,-79.1194,"Solar","2017.0","Cypress Creek Renewables",2019
"USA","Ajax Solar  LLC (MA)","USA0062827","3.8",42.0189,-71.0586,"Solar","2018.0","Green Street Power Partners",2019
"USA","Akron WRF","USA0058980","1.7999999999999998",41.1533,-81.5689,"Biomass","2014.0","City of Akron",2019
"USA","Al Turi","USA0010549","2.4000000000000004",41.4043,-74.3767,"Waste","2006.6666666666663","Ameresco LFG I Inc",2019
"USA","Alamo","USA0000905","19.6",34.8158,-118.6867,"Hydro","1986.0000000000002","California Dept. of Water Resources",2019
"USA","Alamo 6","USA0059206","105.0",30.9931,-102.2708,"Solar","2017.0","BHE Renewables  LLC",2019
"USA","Alamo Solar","USA0059469","20.0",34.6822,-117.3475,"Solar","2015.0","Dominion Renewable Energy",2019
"USA","Alamogordo Solar Energy Center","USA0057577","5.0",32.8657,-105.9998,"Solar","2011.0","PNM Resources",2019
"USA","Albany Medical Ctr Cogen Plant","USA0059453","4.6",42.655,-73.7777,"Gas","2013.0","Albany Medical Center",2019
"USA","Albany Solar","USA0060519","10.0",45.6413,-94.5993,"Solar","2017.0","Enel Green Power NA  Inc.",2019
"USA","Albemarle Hospital Unit","USA0056339","1.8",35.3636,-80.1939,"Oil","2006.0","North Carolina Mun Power Agny #1",2019
"USA","Albemarle Prime Power Park","USA0056263","3.6",35.4072,-80.1518,"Oil","2006.0","North Carolina Mun Power Agny #1",2019
"USA","Albemarle Solar Center LLC","USA0058806","5.0",35.2931,-77.5569,"Solar","2015.0","SRE Utility Solar 1  LLC",2019
"USA","Albeni Falls","USA0000851","42.0",48.1802,-116.9986,"Hydro","1955.0","USACE Northwestern Division",2019
"USA","Albertson Solar LLC","USA0059901","5.0",35.093,-77.8127,"Solar","2015.0","Albertson Solar LLC",2019
"USA","Albertville","USA0007924","4.0",34.3634,-86.2239,"Oil","2000.0","Albertville Municipal Utilities Board",2019
"USA","Albuquerque Solar Energy Center","USA0057567","2.0",35.169,-106.6,"Solar","2011.0","PNM Resources",2019
"USA","Alcona","USA0001693","8.0",44.562,-83.8045,"Hydro","1924.0","Consumers Energy Co",2019
"USA","Alcova","USA0006409","41.4",42.5484,-106.7175,"Hydro","1955.0","U S Bureau of Reclamation",2019
"USA","Alden Bailey Power Plant","USA0056223","10.9",46.1584,-123.406,"Gas","2001.9999999999998","Clatskanie Peoples Util Dist",2019
"USA","Alder","USA0003913","50.0",46.8016,-122.3102,"Hydro","1946.5","City of Tacoma - (WA)",2019
"USA","Alethea I","USA0058519","2.8",40.0006,-74.735,"Solar","2010.9999999999998","Syncarpha Alethea I  LLC",2019
"USA","Alexander","USA0004060","4.199999999999999",45.1875,-89.7553,"Hydro","1925.0000000000002","Wisconsin Public Service Corp",2019
"USA","Alexander Wind Farm LLC","USA0058666","50.7",38.4247,-99.5075,"Wind","2016.0000000000002","SRIV Partnership LLC",2019
"USA","Algonquin Power Sanger LLC","USA0057564","61.5",36.6842,-119.5522,"Gas","2008.8130081300812","Algonquin Power Sanger LLC",2019
"USA","Algonquin SKIC 10 Solar  LLC","USA0060242","10.0",35.1261,-119.2434,"Solar","2017.0","Algonquin Power Co",2019
"USA","Algonquin SKIC20 Solar LLC","USA0059412","20.0",35.1261,-119.2433,"Solar","2015.0","Algonquin Power Co",2019
"USA","Alice Falls Hydro Project","USA0054391","2.1",44.5192,-73.4648,"Hydro","1991.0","Alice Falls Hydro  LLC",2019
"USA","Allatoona","USA0000760","86.6",34.1637,-84.7282,"Hydro","1950.0000000000002","USCE-Mobile District",2019
"USA","Allegan Dam","USA0001694","2.5999999999999996",42.5638,-85.954,"Hydro","1939.615384615385","Consumers Energy Co",2019
"USA","Allegany Cogen","USA0007784","67.0",42.5027,-78.0686,"Gas","1994.0","Allegany Generating Station  LLC",2019
"USA","Allegheny Hydro No 8","USA0050897","13.6",40.8966,-79.479,"Hydro","1991.0","Allegheny Hydro LP",2019
"USA","Allegheny Hydro No 9","USA0050898","17.8",40.956,-79.5507,"Hydro","1991.0","Allegheny Hydro LP",2019
"USA","Allegheny No 6 Hydro Station","USA0050894","9.2",40.7164,-79.5772,"Hydro","1988.0","All Dams Generation  LLC",2019
"USA","Allegheny No. 5 Hydro Station","USA0050893","9.2",40.6829,-79.6653,"Hydro","1988.0","All Dams Generation  LLC",2019
"USA","Allegheny Ridge Wind Farm","USA0056451","80.0",40.3839,-78.5794,"Wind","2007.0","Leeward Asset Management  LLC",2019
"USA","Allendale Biomass","USA0058706","22.5",32.995,-81.2819,"Waste","2013.0","Allendale Biomass LLC",2019
"USA","Allendorf","USA0056215","3.8",43.4,-95.6333,"Wind","2000.6315789473683","E&E Enterprises LLC",2019
"USA","Allens Falls","USA0002540","4.0",44.6603,-74.8603,"Hydro","1927.0","Erie Boulevard Hydropower LP",2019
"USA","Allenwood","USA0057581","3.2",41.1511,-76.9178,"Waste","2012.0","EPP Renewable Energy",2019
"USA","Allergan","USA0063609","1.5",33.6724,-117.8538,"Storage","2019.0","Advanced Microgrid Solutions",2019
"USA","Alliance Refinery","USA0052031","25.0",29.6833,-89.975,"Gas","1985.68","Phillips 66",2019
"USA","Alliant Energy Neenah","USA0055135","371.0",44.1936,-88.5064,"Gas","2000.0","Wisconsin Power & Light Co",2019
"USA","Alliant SBD 8501 Aegon LI","USA0054714","3.1",42.0243,-91.704,"Oil","1985.709677419355","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 8601 Quad Graphics","USA0054720","3.6",41.7958,-92.0592,"Oil","1990.4444444444446","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 8602 Marion Sub","USA0054716","5.6",42.0289,-91.5975,"Oil","1986.0000000000002","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 9106 Rockwell CR","USA0054717","15.999999999999998",42.0356,-91.6458,"Oil","1992.0000000000005","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 9107 JBS USA","USA0054715","11.4",42.056,-92.8971,"Oil","1994.9473684210527","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 9201 Norplex","USA0054712","2.1",43.0906,-91.5542,"Oil","2000.9047619047617","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 9203 Profol","USA0054719","5.6",41.935,-91.6361,"Oil","2003.3214285714287","American Profol Incorporated",2019
"USA","Alliant SBD 9205 A Y McDonald","USA0054710","3.6",42.4906,-90.745,"Oil","1994.861111111111","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 9206 Donaldson","USA0054718","1.6",43.3744,-92.1331,"Oil","1995.0","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 9301 Prairie Farms","USA0054735","3.5000000000000004",42.53,-90.6847,"Oil","1999.0285714285712","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 9302 Aegon NP","USA0054967","1.2",42.0264,-91.7042,"Oil","1995.0","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 9403 Aegon DC","USA0054929","4.1",41.9167,-91.6542,"Oil","2002.6829268292684","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 9502 Eaton","USA0054968","5.4",42.8381,-93.6033,"Oil","1997.3333333333333","Industrial Energy Applications Inc",2019
"USA","Alliant SBD 9901 Wells Fargo","USA0056074","1.1",41.9244,-91.6385,"Oil","2001.0000000000002","Industrial Energy Applications Inc",2019
